0e7525214456   server-src_server_1   0.10%     199.3MiB / 15.63GiB   1.24%     12.6MB / 356kB    0B / 0B       33
29bdf4609909   edge-broker           0.69%     142.8MiB / 15.63GiB   0.89%     13.2MB / 22.5MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.07%     200MiB / 15.63GiB     1.25%     13.9MB / 362kB    0B / 0B       33
29bdf4609909   edge-broker           1.10%     144.3MiB / 15.63GiB   0.90%     14.6MB / 23.8MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     200.3MiB / 15.63GiB   1.25%     14.2MB / 363kB   0B / 0B       33
29bdf4609909   edge-broker           0.34%     144.2MiB / 15.63GiB   0.90%     14.8MB / 24MB    0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     200.3MiB / 15.63GiB   1.25%     14.2MB / 363kB   0B / 0B       33
29bdf4609909   edge-broker           0.53%     143.3MiB / 15.63GiB   0.89%     14.8MB / 24MB    0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     200.3MiB / 15.63GiB   1.25%     14.2MB / 363kB   0B / 0B       33
29bdf4609909   edge-broker           0.34%     142.7MiB / 15.63GiB   0.89%     14.8MB / 24MB    0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     200.3MiB / 15.63GiB   1.25%     14.2MB / 363kB   0B / 0B       33
29bdf4609909   edge-broker           0.48%     142.6MiB / 15.63GiB   0.89%     14.8MB / 24MB    0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.02%     200.3MiB / 15.63GiB   1.25%     14.2MB / 363kB   0B / 0B       33
29bdf4609909   edge-broker           0.47%     142.1MiB / 15.63GiB   0.89%     14.8MB / 24MB    0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.08%     200.6MiB / 15.63GiB   1.25%     14.5MB / 365kB    0B / 0B       33
29bdf4609909   edge-broker           1.38%     142.1MiB / 15.63GiB   0.89%     15.4MB / 29.3MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.17%     202.2MiB / 15.63GiB   1.26%     15.9MB / 520kB    0B / 0B       33
29bdf4609909   edge-broker           0.43%     142.2MiB / 15.63GiB   0.89%     16.8MB / 30.7MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.07%     202.2MiB / 15.63GiB   1.26%     17.2MB / 525kB    0B / 0B       33
29bdf4609909   edge-broker           0.81%     142.2MiB / 15.63GiB   0.89%     17.8MB / 31.8MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.14%     202.2MiB / 15.63GiB   1.26%     18.3MB / 527kB    0B / 0B       33
29bdf4609909   edge-broker           0.91%     144.1MiB / 15.63GiB   0.90%     19.2MB / 33.1MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     202.2MiB / 15.63GiB   1.26%     19MB / 529kB      0B / 0B       33
29bdf4609909   edge-broker           0.90%     145MiB / 15.63GiB     0.91%     19.8MB / 33.7MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     202.2MiB / 15.63GiB   1.26%     19MB / 529kB      0B / 0B       33
29bdf4609909   edge-broker           0.40%     145MiB / 15.63GiB     0.91%     19.8MB / 33.7MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     202.2MiB / 15.63GiB   1.26%     19MB / 529kB      0B / 0B       33
29bdf4609909   edge-broker           1.12%     145MiB / 15.63GiB     0.91%     19.8MB / 33.7MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     202.2MiB / 15.63GiB   1.26%     19MB / 529kB      0B / 0B       33
29bdf4609909   edge-broker           0.63%     145MiB / 15.63GiB     0.91%     19.8MB / 33.7MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     202.2MiB / 15.63GiB   1.26%     19MB / 529kB      0B / 0B       33
29bdf4609909   edge-broker           1.02%     145MiB / 15.63GiB     0.91%     19.8MB / 33.7MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     202.2MiB / 15.63GiB   1.26%     19MB / 529kB      0B / 0B       33
29bdf4609909   edge-broker           0.27%     145.2MiB / 15.63GiB   0.91%     19.8MB / 33.7MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.08%     202.3MiB / 15.63GiB   1.26%     20.2MB / 532kB    0B / 0B       33
29bdf4609909   edge-broker           1.18%     145.2MiB / 15.63GiB   0.91%     20.9MB / 34.8MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.12%     203.3MiB / 15.63GiB   1.27%     21.4MB / 534kB    0B / 0B       33
29bdf4609909   edge-broker           0.60%     146.4MiB / 15.63GiB   0.91%     22.4MB / 36.3MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.13%     204.2MiB / 15.63GiB   1.28%     22.6MB / 687kB    0B / 0B       33
29bdf4609909   edge-broker           0.67%     147MiB / 15.63GiB     0.92%     23.8MB / 42.4MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     204.2MiB / 15.63GiB   1.28%     23.8MB / 690kB    0B / 0B       33
29bdf4609909   edge-broker           0.74%     148.9MiB / 15.63GiB   0.93%     24.8MB / 43.5MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     204.2MiB / 15.63GiB   1.28%     23.8MB / 690kB    0B / 0B       33
29bdf4609909   edge-broker           0.68%     148.9MiB / 15.63GiB   0.93%     24.8MB / 43.5MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     204.2MiB / 15.63GiB   1.28%     23.8MB / 690kB    0B / 0B       33
29bdf4609909   edge-broker           0.95%     148.9MiB / 15.63GiB   0.93%     24.8MB / 43.5MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.09%     204.2MiB / 15.63GiB   1.28%     23.8MB / 690kB    0B / 0B       33
29bdf4609909   edge-broker           0.69%     148.2MiB / 15.63GiB   0.93%     24.8MB / 43.5MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     204.2MiB / 15.63GiB   1.28%     23.8MB / 690kB    0B / 0B       33
29bdf4609909   edge-broker           0.27%     148MiB / 15.63GiB     0.92%     24.8MB / 43.5MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.05%     204.2MiB / 15.63GiB   1.28%     23.8MB / 690kB    0B / 0B       33
29bdf4609909   edge-broker           0.39%     146.9MiB / 15.63GiB   0.92%     24.8MB / 43.5MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.08%     204.2MiB / 15.63GiB   1.28%     24.6MB / 694kB    0B / 0B       33
29bdf4609909   edge-broker           0.83%     144.4MiB / 15.63GiB   0.90%     25.5MB / 44.1MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.15%     204.2MiB / 15.63GiB   1.28%     26.1MB / 700kB    0B / 0B       33
29bdf4609909   edge-broker           1.00%     142.5MiB / 15.63GiB   0.89%     26.8MB / 45.5MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.07%     204.2MiB / 15.63GiB   1.28%     27MB / 704kB      0B / 0B       33
29bdf4609909   edge-broker           1.06%     142.5MiB / 15.63GiB   0.89%     28.2MB / 46.9MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.08%     204.2MiB / 15.63GiB   1.28%     28.4MB / 710kB    0B / 0B       33
29bdf4609909   edge-broker           0.68%     143.6MiB / 15.63GiB   0.90%     29.6MB / 48.2MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     204.2MiB / 15.63GiB   1.28%     28.7MB / 863kB    0B / 0B       33
29bdf4609909   edge-broker           0.39%     143.5MiB / 15.63GiB   0.90%     29.9MB / 53.3MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     204.2MiB / 15.63GiB   1.28%     28.7MB / 863kB    0B / 0B       33
29bdf4609909   edge-broker           0.43%     143.5MiB / 15.63GiB   0.90%     29.9MB / 53.3MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     204.2MiB / 15.63GiB   1.28%     28.7MB / 863kB    0B / 0B       33
29bdf4609909   edge-broker           0.43%     143MiB / 15.63GiB     0.89%     29.9MB / 53.3MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     204.2MiB / 15.63GiB   1.28%     28.7MB / 863kB    0B / 0B       33
29bdf4609909   edge-broker           0.49%     142.7MiB / 15.63GiB   0.89%     29.9MB / 53.3MB   0B / 27.3MB   43
